adult,belongs_to_collection,budget,genres,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
FALSE,,0,"[{'id': 18, 'name': 'Drama'}]",124625,tt0117117,de,My Mother's Courage,"The deportation of 4000 Jews from Budapest to Auschwitz in July 1944, as told by George Tabori, and how the narrator's mother escaped it, owing to coincidence, courage and some help from where you'd least expect it.",0.622885,/xxhP6gUVA6lcHuv0CpOyRixnuPY.jpg,[],"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'IE', 'name': 'Ireland'}, {'iso_3166_1': 'AT', 'name': 'Austria'}]",12-09-1995,0,93,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,My Mother's Courage,FALSE,0,0
FALSE,,0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",11107,tt0116168,en,Eddie,"Eddie is a New York limo driver and a fanatical follower of the New York Knicks professional basketball team. The team is struggling with a mediocre record when, in mid-season, ""Wild Bill"" Burgess, the new owner, as a public relations gimmick, stages an 'honorary coach' contest, which Eddie wins. The fans love it, so ""Wild Bill"" fires the coach and hires her. She takes the bunch of overpaid prima",3.09233,/xl4WRePyVL9GYEnGmOSKbU0Hd8g.jpg,"[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'PolyGram Filmed Entertainment', 'id': 1382}, {'name': 'Island Pictures', 'id': 3492}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",31-05-1996,0,100,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,The newest coach in the NBA has got the Knicks right where she wants them.,Eddie,FALSE,5.4,46
FALSE,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",16417,tt0111787,en,Yankee Zulu,"Two South African boys, one white, Rhino, and one black, Zulu, go their separate ways after an incident. Many years later, they meet up again as adults, when one, after living for years in the United States, is now a wanted criminal. The two end up being a part of a madcap chase involving a check for a large amount of lottery money, pursued by Gen. Diehard and Rhino's ex-wife Rowena, who was the cause of the rift between the two protagonists.",1.558066,/jO8pKUjBMqkaoBHY0EXLYWSmvth.jpg,"[{'name': 'Distant Horizons', 'id': 1066}, {'name': 'Koukus Troika', 'id': 38208}, {'name': 'Toron Screen Corporation', 'id': 38209}]","[{'iso_3166_1': 'ZA', 'name': 'South Africa'}]",01-12-1993,0,100,"[{'iso_639_1': 'af', 'name': 'Afrikaans'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,If the gods were crazy... now they're berserk.,Yankee Zulu,FALSE,6,4
FALSE,,0,[],70934,tt0112509,en,Billy's Holiday,"This movie is all about a normal guy called Billy Apples. He is a social drinker and sometimes lead singer of a band. While he is doing all of this, he still manages to bring up his teenage daughter. One night while sitting at home Billy finds that he has a talent! He finds that he is able to sing like his idol, 50's singer Billie Holiday. From there he is going places, from huge live performances to even cutting a hit record, but in the end he must make a choice between the life he has, and the life he once knew. Written by Graham Wilson Jr",0.002444,/hzfHtsJrzoqwdEPooW1pqjBbRFU.jpg,[],[],26-07-1995,0,92,[],Released,"As of today, he's not the man he used to be!",Billy's Holiday,FALSE,0,0
FALSE,,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",10363,tt0054189,fr,Plein soleil,"Tom Ripley is a talented mimic, moocher, forger and all-around criminal improviser; but there's more to Tom Ripley than even he can guess.",3.804493,/j4rWy2N6Aew0Az8KQkXiBvQog3E.jpg,"[{'name': 'Titanus', 'id': 641}, {'name': 'Paris Film', 'id': 7046}, {'name': 'Robert et Raymond Hakim', 'id': 11290}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'IT', 'name': 'Italy'}]",10-03-1960,0,115,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Fran̤ais'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,Passion at ten. Envy at eleven. Murder at noon.,Purple Noon,FALSE,7.3,73
FALSE,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",161070,tt0115591,en,August,"Set in 1890s North Wales over a long, hot August weekend, the Victorian calm of a household is suddenly upset with the arrival of a London couple who impose their city ways and thoughts on the more rurally based family. An adaptation of Anton Chekhov's play, ""Uncle Vanya.""",0.987434,/lyLhUHsiZedxjQnjR41afnGBIGj.jpg,"[{'name': 'Granada Film Productions', 'id': 247}, {'name': 'Majestic Films International', 'id': 20928}, {'name': 'Newcomm', 'id': 38178}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",08-08-1996,0,94,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"It's really how life can appear with desillusions, good and funny moments, peace, love and hate.",August,FALSE,5.3,3
FALSE,,38000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",10539,tt0116683,en,James and the Giant Peach,"When the young orphan boy James spills a magic bag of crocodile tongues, he finds himself in possession of a giant peach that flies him away to strange lands.",13.217623,/fDfgO1jkPAIX9ZbXka9XcOfDWl3.jpg,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Allied Filmmakers', 'id': 1755}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12-04-1996,28921264,79,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Adventures this big don't grow on trees.,James and the Giant Peach,FALSE,6.2,375
FALSE,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",10543,tt0116287,en,Fear,A 16 year old girl takes up with a charming young man who quickly shows his colors when he beats a friend simply for walking with her and then goes totally ballistic after she tries to break up with him.,6.954926,/reA4wlTY9qGwryVftscFT2q0ZLK.jpg,"[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12-04-1996,0,97,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Together forever. Or else.,Fear,FALSE,6.1,157
FALSE,,0,"[{'id': 35, 'name': 'Comedy'}]",18414,tt0116768,en,Kids in the Hall: Brain Candy,"A pharmaceutical scientist creates a pill that makes people remember their happiest memory, and although it's successful, it has unfortunate side effects.",2.299851,/lmqflLkz11OqcHVmj7JtGsFF6JX.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Lakeshore Entertainment', 'id': 126}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'CA', 'name': 'Canada'}]",02-04-1996,0,89,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Shove this up your mind,Kids in the Hall: Brain Candy,FALSE,5.9,26
FALSE,,13000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",47502,tt0116269,en,Faithful,"A depressed housewife whose husband is having an affair contemplates suicide, but changes her mind when she faces death by a killer hired to do her in.",1.296862,/hGimJZmyw8SR27dxCoK6xIHiqKx.jpg,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Miramax Films', 'id': 14}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",03-04-1996,9789900,91,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"A comedy about a wife, her husband and his hit man.",Faithful,FALSE,4.8,4
